"Facility","TestsPerformed","Positive","Negative",
"Albemarle CI","242","60","182",
"Alexander CI","5","0","5",
"Anson CI","3","0","3",
"Avery-Mitchell CI","4","0","4",
"Bertie CI","49","10","39",
"Burke CRV","0","0","0",
"Caldwell CC","7","0","7",
"Caledonia CI","33","20","13",
"Carteret CC","0","0","0",
"Caswell CC","418","41","377",
"Catawba CC","1","0","1",
"Central Prison","146","8","138",
"Columbus CI","2","0","2",
"Craggy CC","7","0","7",
"Craven CI","379","0","379",
"Dan River PWF","3","0","3",
"Davidson CC","1","0","1",
"Eastern CI","6","0","6",
"Foothills CI","26","13","13",
"Forsyth CC","1","0","1",
"Franklin CC","1","0","1",
"Gaston CC","0","0","0",
"Greene CI","25","0","25",
"Harnett CI","6","0","6",
"Hyde CI","2","0","2",
"Johnston CI","20","4","16",
"Lincoln CC","1","0","1",
"Lumberton CI","14","0","14",
"Marion CI","4","0","4",
"Maury CI","11","0","11",
"Morrison CI","4","0","4",
"Mountain View CI","8","0","8",
"NC CI Women","455","91","364",
"Nash CI","7","0","7",
"Neuse CI","702","466","236",
"New Hanover CC","2","0","2",
"North Piedmont CRV","31","0","31",
"Orange CC","2","0","2",
"Pamlico CI","5","0","5",
"Pasquotank CI","55","19","36",
"Pender CI","52","17","35",
"Piedmont CI","359","2","357",
"Polk CI","188","1","187",
"Randolph CC","6","0","6",
"Rutherford CC","0","0","0",
"Sampson CI","3","0","3",
"Sanford CC","0","0","0",
"Scotland CI","52","5","47",
"Southern CI","23","3","20",
"Swannanoa CCW","0","0","0",
"Tabor CI","24","0","24",
"Wake CC","1","0","1",
"Warren CI","5","0","5",
"Wilkes CC","50","14","36",
"Statewide Totals","3451","774","2677",
